timestamp,room_id,room_type,occupant_count,occupant_presence,wifi_connected_devices,indoor_co2,air_temperature,indoor_relative_humidity,hour,day_of_week,is_weekend,date
2021-09-07 00:00:00+08:00,R1,lecture,0,0,0.0,430.1000061000001,26.66866684,72.75533295,0,1,0,2021-09-07
2021-09-07 00:05:00+08:00,R1,lecture,0,0,0.0,427.2666626,26.44833374,70.09266663,0,1,0,2021-09-07
2021-09-07 00:10:00+08:00,R1,lecture,0,0,0.0,424.4666748,26.28100014,70.66999817,0,1,0,2021-09-07
2021-09-07 00:15:00+08:00,R1,lecture,0,0,0.0,422.3999938999999,26.49266624,74.74299622,0,1,0,2021-09-07
2021-09-07 00:20:00+08:00,R1,lecture,0,0,0.0,422.5172424,26.35620689,74.72000122,0,1,0,2021-09-07
2021-09-07 00:25:00+08:00,R1,lecture,0,0,0.0,424.7333374,26.17933273,71.93166351,0,1,0,2021-09-07
2021-09-07 00:30:00+08:00,R1,lecture,0,0,0.0,422.9666748,26.45299911,74.32099915,0,1,0,2021-09-07
2021-09-07 00:35:00+08:00,R1,lecture,0,0,0.0,425.1666565,26.43133354,75.30833435,0,1,0,2021-09-07
2021-09-07 00:40:00+08:00,R1,lecture,0,0,0.0,424.1785583000001,26.09892845,72.04178619,0,1,0,2021-09-07
2021-09-07 00:45:00+08:00,R1,lecture,0,0,0.0,425.3999938999999,26.30266762,73.16699982,0,1,0,2021-09-07
2021-09-07 00:50:00+08:00,R1,lecture,0,0,0.0,432.7666626,26.4936676,75.16799927,0,1,0,2021-09-07
2021-09-07 00:55:00+08:00,R1,lecture,0,0,0.0,454.8999938999999,26.22633362,72.64299774,0,1,0,2021-09-07
2021-09-07 01:00:00+08:00,R1,lecture,0,0,0.0,498.5333252,26.25799942,71.26933289,1,1,0,2021-09-07
2021-09-07 01:05:00+08:00,R1,lecture,0,0,0.0,551.9333496,26.50333405,73.54733276,1,1,0,2021-09-07
2021-09-07 01:10:00+08:00,R1,lecture,0,0,0.0,583.2069092,26.46758652,70.32551575,1,1,0,2021-09-07
2021-09-07 01:15:00+08:00,R1,lecture,0,0,0.0,596.0,26.35833359,68.58366394,1,1,0,2021-09-07
2021-09-07 01:20:00+08:00,R1,lecture,0,0,0.0,596.833313,26.38866615,67.10933685,1,1,0,2021-09-07
2021-09-07 01:25:00+08:00,R1,lecture,0,0,0.0,595.7999877999999,26.37199974,66.05033112,1,1,0,2021-09-07
2021-09-07 01:30:00+08:00,R1,lecture,0,0,0.0,594.7666626,26.35766602,64.98433685,1,1,0,2021-09-07
2021-09-07 01:35:00+08:00,R1,lecture,0,0,0.0,587.2857056,26.21964264,64.68464661,1,1,0,2021-09-07
2021-09-07 01:40:00+08:00,R1,lecture,0,0,0.0,582.833313,26.26033401,64.2456665,1,1,0,2021-09-07
2021-09-07 01:45:00+08:00,R1,lecture,0,0,0.0,578.3666382,26.39433289,65.92400359999999,1,1,0,2021-09-07
2021-09-07 01:50:00+08:00,R1,lecture,0,0,0.0,585.0999756,26.58866692,68.79633331,1,1,0,2021-09-07
2021-09-07 01:55:00+08:00,R1,lecture,0,0,0.0,587.7000122000001,26.48966599,66.7563324,1,1,0,2021-09-07
2021-09-07 02:00:00+08:00,R1,lecture,0,0,0.0,591.0333252,26.37633324,66.04566956,2,1,0,2021-09-07
2021-09-07 02:05:00+08:00,R1,lecture,0,0,0.0,588.3448486000001,26.32586288,65.25517273,2,1,0,2021-09-07
2021-09-07 02:10:00+08:00,R1,lecture,0,0,0.0,583.1333618,26.29733276,64.65066528,2,1,0,2021-09-07
2021-09-07 02:15:00+08:00,R1,lecture,0,0,0.0,581.4333496,26.15766716,64.37599945,2,1,0,2021-09-07
2021-09-07 02:20:00+08:00,R1,lecture,0,0,0.0,579.8666382,26.17333412,63.81100082,2,1,0,2021-09-07
2021-09-07 02:25:00+08:00,R1,lecture,0,0,0.0,583.1428833,26.17499924,64.43821716,2,1,0,2021-09-07
2021-09-07 02:30:00+08:00,R1,lecture,0,0,0.0,559.5,26.38433266,69.61100006,2,1,0,2021-09-07
2021-09-07 02:35:00+08:00,R1,lecture,0,0,0.0,527.9000244,26.36199951,70.99633026,2,1,0,2021-09-07
2021-09-07 02:40:00+08:00,R1,lecture,0,0,0.0,501.0,26.16533279,69.00499725,2,1,0,2021-09-07
2021-09-07 02:45:00+08:00,R1,lecture,0,0,0.0,480.1666565,26.29133415,71.93900299,2,1,0,2021-09-07
2021-09-07 02:50:00+08:00,R1,lecture,0,0,0.0,470.0333252,26.35233307,74.70666504,2,1,0,2021-09-07
2021-09-07 02:55:00+08:00,R1,lecture,0,0,0.0,459.3928528,26.18321419,71.19071198,2,1,0,2021-09-07
2021-09-07 03:00:00+08:00,R1,lecture,0,0,0.0,457.7000122,26.24633408,72.57766724,3,1,0,2021-09-07
2021-09-07 03:05:00+08:00,R1,lecture,0,0,0.0,450.8999938999999,26.45400047,76.35700226,3,1,0,2021-09-07
2021-09-07 03:10:00+08:00,R1,lecture,0,0,0.0,447.3999938999999,26.30233383,72.56900024,3,1,0,2021-09-07
2021-09-07 03:15:00+08:00,R1,lecture,0,0,0.0,448.5357056,26.19107056,71.66178894,3,1,0,2021-09-07
2021-09-07 03:20:00+08:00,R1,lecture,0,0,0.0,445.8666687,26.33600044,76.46800232,3,1,0,2021-09-07
2021-09-07 03:25:00+08:00,R1,lecture,0,0,0.0,450.0333252,26.26066589,75.21033478,3,1,0,2021-09-07
2021-09-07 03:30:00+08:00,R1,lecture,0,0,0.0,445.9666748,26.18266678,72.10633087,3,1,0,2021-09-07
2021-09-07 03:35:00+08:00,R1,lecture,0,0,0.0,449.1333313,26.22400093,76.76499939,3,1,0,2021-09-07
2021-09-07 03:40:00+08:00,R1,lecture,0,0,0.0,451.1000061000001,26.18300056,76.26833344,3,1,0,2021-09-07
2021-09-07 03:45:00+08:00,R1,lecture,0,0,0.0,451.6333313,25.98266602,72.88066864,3,1,0,2021-09-07
2021-09-07 03:50:00+08:00,R1,lecture,0,0,0.0,467.2758484,26.21275902,75.94517517,3,1,0,2021-09-07
2021-09-07 03:55:00+08:00,R1,lecture,0,0,0.0,497.8999938999999,26.22733307,75.03600311,3,1,0,2021-09-07
2021-09-07 04:00:00+08:00,R1,lecture,0,0,0.0,543.7333374,26.13666725,71.73133087,4,1,0,2021-09-07
2021-09-07 04:05:00+08:00,R1,lecture,0,0,0.0,589.6428833,26.24785805,69.42214203,4,1,0,2021-09-07
2021-09-07 04:10:00+08:00,R1,lecture,0,0,0.0,618.8965454,26.25655174,67.95275879,4,1,0,2021-09-07
2021-09-07 04:15:00+08:00,R1,lecture,0,0,0.0,627.0333252,26.17233276,67.29299927,4,1,0,2021-09-07
2021-09-07 04:20:00+08:00,R1,lecture,0,0,0.0,636.0333252,26.2456665,66.33366394,4,1,0,2021-09-07
2021-09-07 04:25:00+08:00,R1,lecture,0,0,0.0,644.0333252,26.35733414,65.28733063,4,1,0,2021-09-07
2021-09-07 04:30:00+08:00,R1,lecture,0,0,0.0,648.0333252,26.25399971,65.15666962,4,1,0,2021-09-07
2021-09-07 04:35:00+08:00,R1,lecture,0,0,0.0,656.0,26.26099968,65.05699921,4,1,0,2021-09-07
2021-09-07 04:40:00+08:00,R1,lecture,0,0,0.0,658.6896362000001,26.25,64.99172211,4,1,0,2021-09-07
2021-09-07 04:45:00+08:00,R1,lecture,0,0,0.0,663.0666504,26.24466705,64.77833557,4,1,0,2021-09-07
2021-09-07 04:50:00+08:00,R1,lecture,0,0,0.0,662.5666504,26.27799988,64.21366882,4,1,0,2021-09-07
2021-09-07 04:55:00+08:00,R1,lecture,0,0,0.0,662.166687,26.32433319,63.44166565,4,1,0,2021-09-07
2021-09-07 05:00:00+08:00,R1,lecture,0,0,0.0,664.1428833,26.31678581,63.26250076,5,1,0,2021-09-07
2021-09-07 05:05:00+08:00,R1,lecture,0,0,0.0,667.4666748,26.23900032,63.65366745,5,1,0,2021-09-07
2021-09-07 05:10:00+08:00,R1,lecture,0,0,0.0,665.0333252,26.33600044,63.6609993,5,1,0,2021-09-07
2021-09-07 05:15:00+08:00,R1,lecture,0,0,0.0,666.1333618,26.30599976,63.91999817,5,1,0,2021-09-07
2021-09-07 05:20:00+08:00,R1,lecture,0,0,0.0,668.7000122000001,26.26633263,63.5953331,5,1,0,2021-09-07
2021-09-07 05:25:00+08:00,R1,lecture,0,0,0.0,622.2000122000001,26.5739994,65.30867004,5,1,0,2021-09-07
2021-09-07 05:30:00+08:00,R1,lecture,0,0,0.0,556.7666626,26.84866714,71.15000153,5,1,0,2021-09-07
2021-09-07 05:35:00+08:00,R1,lecture,0,0,0.0,521.241394,26.7572422,72.44758606,5,1,0,2021-09-07
2021-09-07 05:40:00+08:00,R1,lecture,0,0,0.0,503.7333374,26.57099915,69.82933044,5,1,0,2021-09-07
2021-09-07 05:45:00+08:00,R1,lecture,0,0,0.0,508.1000061000001,26.83200073,72.87566376,5,1,0,2021-09-07
2021-09-07 05:50:00+08:00,R1,lecture,0,0,0.0,551.25,26.90464211,74.55107117,5,1,0,2021-09-07
2021-09-07 05:55:00+08:00,R1,lecture,0,0,0.0,602.833313,26.56266594,71.60366821,5,1,0,2021-09-07
2021-09-07 06:00:00+08:00,R1,lecture,0,0,0.0,639.9333496,26.55866623,69.65000153,6,1,0,2021-09-07
2021-09-07 06:05:00+08:00,R1,lecture,0,0,0.0,669.7000122000001,26.83300018,70.63999939,6,1,0,2021-09-07
2021-09-07 06:10:00+08:00,R1,lecture,0,0,0.0,688.666687,26.85666656,70.05233002,6,1,0,2021-09-07
2021-09-07 06:15:00+08:00,R1,lecture,0,0,0.0,691.6333618,26.87166595,67.68533325,6,1,0,2021-09-07
2021-09-07 06:20:00+08:00,R1,lecture,0,0,0.0,685.5,26.86766624,66.11333466,6,1,0,2021-09-07
2021-09-07 06:25:00+08:00,R1,lecture,0,0,0.0,680.0689697,26.76793098,65.4068985,6,1,0,2021-09-07
2021-09-07 06:30:00+08:00,R1,lecture,0,0,0.0,677.9666748,26.63466644,65.42066956,6,1,0,2021-09-07
2021-09-07 06:35:00+08:00,R1,lecture,0,0,0.0,674.5666504,26.96366692,67.91533661,6,1,0,2021-09-07
