location_id,timestamp,occupancy_count,source
LIB-L1,2026-09-23T08:00:00,99,dummy
LIB-L1,2026-09-23T09:00:00,99,dummy
LIB-L1,2026-09-23T10:00:00,99,dummy
LIB-L1,2026-09-23T11:00:00,99,dummy
LIB-L1,2026-09-23T12:00:00,135,dummy
LIB-L1,2026-09-23T13:00:00,135,dummy
LIB-L1,2026-09-23T14:00:00,99,dummy
LIB-L1,2026-09-23T15:00:00,99,dummy
LIB-L1,2026-09-23T16:00:00,126,dummy
LIB-L1,2026-09-23T17:00:00,126,dummy
LIB-L1,2026-09-23T18:00:00,126,dummy
LIB-L1,2026-09-23T19:00:00,99,dummy
LIB-L1,2026-09-23T20:00:00,99,dummy
LIB-L2,2026-09-23T08:00:00,66,dummy
LIB-L2,2026-09-23T09:00:00,66,dummy
LIB-L2,2026-09-23T10:00:00,66,dummy
LIB-L2,2026-09-23T11:00:00,66,dummy
LIB-L2,2026-09-23T12:00:00,90,dummy
LIB-L2,2026-09-23T13:00:00,90,dummy
LIB-L2,2026-09-23T14:00:00,66,dummy
LIB-L2,2026-09-23T15:00:00,66,dummy
LIB-L2,2026-09-23T16:00:00,84,dummy
LIB-L2,2026-09-23T17:00:00,84,dummy
LIB-L2,2026-09-23T18:00:00,84,dummy
LIB-L2,2026-09-23T19:00:00,66,dummy
LIB-L2,2026-09-23T20:00:00,66,dummy
DR-A-3-01,2026-09-23T08:00:00,2,dummy
DR-A-3-01,2026-09-23T09:00:00,2,dummy
DR-A-3-01,2026-09-23T10:00:00,2,dummy
DR-A-3-01,2026-09-23T11:00:00,2,dummy
DR-A-3-01,2026-09-23T12:00:00,3,dummy
DR-A-3-01,2026-09-23T13:00:00,3,dummy
DR-A-3-01,2026-09-23T14:00:00,2,dummy
DR-A-3-01,2026-09-23T15:00:00,2,dummy
DR-A-3-01,2026-09-23T16:00:00,2,dummy
DR-A-3-01,2026-09-23T17:00:00,2,dummy
DR-A-3-01,2026-09-23T18:00:00,2,dummy
DR-A-3-01,2026-09-23T19:00:00,2,dummy
DR-A-3-01,2026-09-23T20:00:00,2,dummy
DR-A-3-02,2026-09-23T08:00:00,2,dummy
DR-A-3-02,2026-09-23T09:00:00,2,dummy
DR-A-3-02,2026-09-23T10:00:00,2,dummy
DR-A-3-02,2026-09-23T11:00:00,2,dummy
DR-A-3-02,2026-09-23T12:00:00,3,dummy
DR-A-3-02,2026-09-23T13:00:00,3,dummy
DR-A-3-02,2026-09-23T14:00:00,2,dummy
DR-A-3-02,2026-09-23T15:00:00,2,dummy
DR-A-3-02,2026-09-23T16:00:00,2,dummy
DR-A-3-02,2026-09-23T17:00:00,2,dummy
DR-A-3-02,2026-09-23T18:00:00,2,dummy
DR-A-3-02,2026-09-23T19:00:00,2,dummy
DR-A-3-02,2026-09-23T20:00:00,2,dummy
LT-A-2-01,2026-09-23T08:00:00,68,dummy
LT-A-2-01,2026-09-23T09:00:00,68,dummy
LT-A-2-01,2026-09-23T10:00:00,68,dummy
LT-A-2-01,2026-09-23T11:00:00,68,dummy
LT-A-2-01,2026-09-23T12:00:00,98,dummy
LT-A-2-01,2026-09-23T13:00:00,98,dummy
LT-A-2-01,2026-09-23T14:00:00,68,dummy
LT-A-2-01,2026-09-23T15:00:00,68,dummy
LT-A-2-01,2026-09-23T16:00:00,90,dummy
LT-A-2-01,2026-09-23T17:00:00,90,dummy
LT-A-2-01,2026-09-23T18:00:00,90,dummy
LT-A-2-01,2026-09-23T19:00:00,68,dummy
LT-A-2-01,2026-09-23T20:00:00,68,dummy
FC-L1,2026-09-23T08:00:00,99,dummy
FC-L1,2026-09-23T09:00:00,99,dummy
FC-L1,2026-09-23T10:00:00,99,dummy
FC-L1,2026-09-23T11:00:00,99,dummy
FC-L1,2026-09-23T12:00:00,143,dummy
FC-L1,2026-09-23T13:00:00,143,dummy
FC-L1,2026-09-23T14:00:00,99,dummy
FC-L1,2026-09-23T15:00:00,99,dummy
FC-L1,2026-09-23T16:00:00,132,dummy
FC-L1,2026-09-23T17:00:00,132,dummy
FC-L1,2026-09-23T18:00:00,132,dummy
FC-L1,2026-09-23T19:00:00,99,dummy
FC-L1,2026-09-23T20:00:00,99,dummy
